,title,id,revenue,budget,vote_average,vote_count,weighted_rating,genres,cast,gender,keywords,release_date,number of males,number of females,number of unknown,number of cast
4212,August: Osage County,152737,74188937,25000000,6.9,497.0,7.0,"['Comedy', 'Drama']","['Meryl Streep', 'Julia Roberts', 'Chris Cooper']","[1, 1, 2, 2, 1, 2, 2, 1, 1, 1, 2, 0, 0, 2, 2, 2, 2, 0, 0, 0]","['suicide', 'drug addiction', 'funeral', 'dysfunctional family', 'based on play or musical', 'midwest', 'southern', 'bleak comedy', 'mental disorders']",2013-12-26,9,6,5,20
4213,Amen,180048,270000,110000,6.9,6.0,6.0,"['Fantasy', 'Music', 'Romance']","['Fahadh Faasil', 'Indrajith Sukumaran', 'Kalabhavan Mani']","[2, 2, 2, 0, 2, 2, 2, 2, 0, 0, 0, 1, 2, 0, 2, 2, 2, 0, 0, 2, 2]","['competition', 'musician', 'music', 'love', 'church', 'band', 'malayalam']",2013-03-21,13,1,7,21
4214,Sweetwater,158916,6147,7000000,6.0,71.0,6.0,"['Western', 'Thriller']","['Ed Harris', 'January Jones', 'Jason Isaacs']","[2, 1, 2, 2, 0, 2, 2, 2, 2]","['new mexico', 'love', 'revenge', 'murder', 'religious fanatic']",2013-01-24,7,1,1,9
4215,American Hustle,168672,251171807,40000000,6.8,2868.0,7.0,"['Drama', 'Crime']","['Christian Bale', 'Bradley Cooper', 'Amy Adams']","[2, 2, 1, 2, 1, 2, 2, 2, 2, 2, 1, 2, 0, 0, 2, 2, 2, 1, 0, 0, 0]","['con artist', 'scam', 'mobster', 'fbi agent']",2013-12-12,12,4,5,21
4216,The Secret Life of Walter Mitty,116745,188133322,90000000,7.0,3213.0,7.0,"['Adventure', 'Comedy', 'Drama', 'Fantasy']","['Ben Stiller', 'Kristen Wiig', 'Patton Oswalt']","[2, 1, 2, 1, 2, 1, 2, 0, 0, 2, 2, 2, 0]","['himalaya', 'photographer', 'magazine', 'iceland', 'daydream', 'photograph', 'shark', 'fired from the job', 'skateboard', 'dreamer', 'online dating', 'daydreaming']",2013-12-18,7,3,3,13
4217,Her,152601,47351251,23000000,7.9,4215.0,8.0,"['Romance', 'Science Fiction', 'Drama']","['Joaquin Phoenix', 'Scarlett Johansson', 'Rooney Mara']","[2, 1, 1, 1, 1, 2, 1, 0, 0, 0, 2, 2, 1, 2, 0, 0, 0, 0, 0, 2, 0]","['artificial intelligence', 'computer', 'love', 'loneliness', 'transhumanism', 'heartbreak', 'near future', 'singularity', 'bittersweet']",2013-12-18,6,6,9,21
4218,Lone Survivor,193756,149295601,40000000,7.4,1549.0,7.0,"['Action', 'Drama', 'Thriller', 'War']","['Mark Wahlberg', 'Taylor Kitsch', 'Emile Hirsch']","[2, 2, 2, 2, 0, 2, 2, 2, 0, 0, 2, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0]","['war', 'survival', 'navy seal', 'military', 'dangerous mission']",2013-12-24,10,0,11,21
4219,Saving Mr. Banks,140823,112544580,35000000,7.3,1256.0,7.0,"['Comedy', 'Drama', 'History']","['Emma Thompson', 'Tom Hanks', 'Paul Giamatti']","[1, 2, 2, 2, 1, 2, 2, 0, 2, 1, 0, 1, 2, 1, 2, 1, 2, 1]","['biography', 'animation', 'writer', 'film production']",2013-11-16,9,7,2,18
4220,Oldboy,87516,4861022,30000000,5.9,632.0,6.0,"['Drama', 'Thriller', 'Mystery', 'Action']","['Josh Brolin', 'Elizabeth Olsen', 'Samuel L. Jackson']","[2, 1, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 1, 1, 1, 0, 0, 1, 1]","['imprisonment', 'remake of korean film']",2013-11-14,10,7,2,19
4221,Anchorman 2: The Legend Continues,109443,173649015,50000000,6.0,940.0,6.0,['Comedy'],"['Will Ferrell', 'Steve Carell', 'Paul Rudd']","[2, 2, 2, 1, 2, 2, 1, 1, 2, 1, 1, 2, 2, 1, 2, 2, 2, 2, 1, 2, 2]","['journalism', 'mustache', 'tv news', 'newsroom', 'gang warfare', 'aftercreditsstinger', 'news spoof', 'tv news anchor']",2013-12-18,14,7,0,21
4222,Snowpiercer,110415,86758912,39200000,6.7,2910.0,7.0,"['Action', 'Science Fiction', 'Drama']","['Chris Evans', 'Song Kang-ho', 'Ed Harris']","[2, 2, 2, 2, 1, 2, 1, 2, 0, 1, 2, 2, 0, 0, 2, 2, 0, 2, 2, 2, 2]","['father son relationship', 'child labour', 'brothel', 'winter', 'allegory', 'bridge', 'post-apocalyptic', 'dystopia', 'hijacking of train', 'based on comic', 'dam', 'rifle', 'pregnant', 'train', 'violence', 'based on graphic novel', 'guilt', 'revolt', 'duplicity', 'tunnel', 'social class', 'population control', 'perpetual winter', 'city ruin']",2013-08-01,14,3,4,21
4223,The Precocious and Brief Life of Sabina Rivas,142487,2395000,4620000,5.0,6.0,5.0,['Drama'],"['Joaqu\xc3\xadn Cosio', 'Greisy Mena', 'Fernando Moreno']","[2, 0, 2, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 2]",['mara salvatrucha'],2012-11-09,5,0,9,14
4224,Fun Size,82679,11417362,14000000,5.5,139.0,5.0,['Comedy'],"['Victoria Justice', 'Jackson Nicoll', 'Chelsea Handler']","[1, 2, 1, 0, 1, 2, 2, 1, 1, 1, 1, 1, 2]","['halloween', 'friends', 'little brother', 'trick or treating', 'boyfriend girlfriend relationship']",2012-10-25,4,8,1,13
4225,The Physician,169881,57284237,32000000,7.2,365.0,7.0,"['Adventure', 'Drama', 'History']","['Tom Payne', 'Ben Kingsley', 'Stellan Skarsg\xc3\xa5rd']","[2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 0, 2, 2]","['medicine', 'sandstorm', 'army', 'doctor', 'orphan', 'medieval', 'zealot', 'black death']",2013-12-25,11,1,1,13
4226,Mio in the Land of Faraway,14499,2300000,7200000,6.3,23.0,6.0,"['Adventure', 'Drama', 'Fantasy', 'Family', 'Mystery']","['Nick Pickard', 'Christian Bale', 'Timothy Bottoms']","[2, 2, 2, 1, 2, 2, 0, 0, 1, 0, 0]","['boy', 'friendship', 'knight']",1987-07-01,5,2,4,11
4227,The Hijack That Went South,211233,532269,1800000,5.6,8.0,5.0,"['Action', 'Comedy', 'Crime']","['Kari Hietalahti', 'Aake Kalliala', 'Hannu-Pekka Bj\xc3\xb6rkman']","[2, 2, 2, 2, 0, 0, 0, 2, 0]","['airplane', 'hijack']",2013-01-17,5,0,4,9
4228,Grudge Match,64807,44907260,40000000,6.0,437.0,6.0,['Comedy'],"['Robert De Niro', 'Sylvester Stallone', 'Alan Arkin']","[2, 2, 2, 2, 2, 1, 2, 2, 1, 0, 2, 2, 2, 0, 0, 0, 2]","['father son relationship', 'sport', 'rivalry', 'elderly', 'elderly man']",2013-12-25,11,2,4,17
4229,Dhoom,17478,12000000,1500000,6.2,53.0,6.0,"['Action', 'Crime', 'Drama', 'Thriller']","['Abhishek Bachchan', 'John Abraham', 'Uday Chopra']","[0, 2, 2, 1, 1, 2]","['gang of thieves', 'cops', 'motor sport', 'bollywood', 'motorcycle']",2004-08-27,3,2,1,6
4230,Paranormal Activity: The Marked Ones,227348,86362372,5000000,5.2,455.0,5.0,"['Horror', 'Thriller']","['Andrew Jacobs', 'Richard Cabral', 'Carlos Pratts']","[2, 2, 0, 2, 0, 2, 1, 1, 0, 0]","['supernatural', 'demon', 'found footage']",2014-01-01,4,2,4,10
4231,Yves Saint Laurent,245775,21026290,12000000,6.4,270.0,6.0,['Drama'],"['Pierre Niney', 'Guillaume Gallienne', 'Nikolai Kinski']","[0, 2, 2, 1, 2, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]","['biography', 'fashion designer', 'fashion']",2014-01-08,3,4,9,16
4232,Hunting Elephants,204810,4500000,2300000,6.2,11.0,5.0,"['Comedy', 'Crime']","['Moni Moshonov', 'Patrick Stewart', 'Sasson Gabai']","[0, 2, 2, 0, 2, 0, 0, 1, 2, 0]","['jerusalem', 'old man', 'bank robbery', 'bank heist']",2013-07-03,4,1,5,10
4233,Underdogs,153158,24000000,22000000,6.0,127.0,6.0,"['Animation', 'Adventure', 'Romance']","['Juan Jos\xc3\xa9 Campanella', 'Diego Ramos', 'Pablo Rago']","[2, 0, 2, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0]",['soccer'],2013-07-18,3,1,11,15
4234,The Railway Man,127560,22309223,18000000,6.7,277.0,7.0,"['Drama', 'History']","['Jeremy Irvine', 'Colin Firth', 'Stellan Skarsg\xc3\xa5rd']","[2, 2, 2, 0, 1, 0, 2, 0, 0, 0, 2, 0, 0, 2, 2, 0, 0, 0, 0, 2, 0]","['post traumatic stress  disorder', 'japanese', 'world war ii', 'victim', 'autobiography', 'based on true story', 'history', 'revenge', 'redemption', 'torture']",2013-12-26,8,1,12,21
4235,Diana,118289,21766271,15000000,5.3,180.0,5.0,"['Drama', 'Romance']","['Naomi Watts', 'Naveen Andrews', 'Charles Edwards']","[1, 2, 2, 2, 2, 2, 1, 1, 2, 2, 1, 0, 2, 0, 2, 0, 2, 1, 2, 1, 0]","['london england', 'paparazzi', 'royal family', 'lady diana spencer', 'pakistani', 'biography', 'princess', 'secret love', 'interracial relationship', 'princess diana']",2013-09-19,11,6,4,21
4236,Ride Along,168530,153997819,25000000,6.1,867.0,6.0,"['Action', 'Comedy']","['Ice Cube', 'Kevin Hart', 'John Leguizamo']","[2, 2, 2, 2, 1, 2, 2, 0, 0, 0, 2, 2, 2, 1, 2, 0, 2, 0, 2, 0, 0]","['police operation', 'police officer', 'brother-in-law brother-in-law relationship', 'duringcreditsstinger', 'black men']",2014-01-07,12,2,7,21
4237,Jack Ryan: Shadow Recruit,137094,50549107,60000000,5.9,1194.0,6.0,"['Action', 'Drama', 'Thriller']","['Chris Pine', 'Keira Knightley', 'Kevin Costner']","[2, 1, 2, 2, 0, 2, 2, 0, 2, 2, 1, 0, 2, 0, 0, 0, 1, 2, 2, 0, 0]","['london england', 'corruption', 'cia', 'terrorist', 'sniper', 'explosive', 'intelligence', 'russia', 'murder', 'conspiracy', 'surveillance', 'agent', 'jack ryan', 'u.s. marine', 'rehab', 'analyst']",2014-01-15,10,3,8,21
4238,Divergent,157350,288747895,85000000,6.9,4784.0,7.0,"['Adventure', 'Action', 'Science Fiction']","['Shailene Woodley', 'Theo James', 'Kate Winslet']","[1, 2, 1, 2, 2, 1, 1, 2, 2, 1, 2, 2, 2, 2, 0, 0, 2, 0, 0, 0, 0]","['based on novel', 'dystopia', 'youth', 'dystopic future', 'caste system', 'divergent', 'based on young adult novel']",2014-03-14,10,5,6,21
4239,Devil's Due,79316,36433975,7000000,4.4,218.0,5.0,['Horror'],"['Allison Miller', 'Zach Gilford', 'Sam Anderson']","[1, 2, 2, 2, 1, 1, 2, 2, 0, 1, 2, 1, 0, 0, 1, 1]",['found footage'],2014-01-08,6,7,3,16
4240,The First Power,41374,22424195,10000000,4.7,15.0,5.0,"['Crime', 'Thriller', 'Horror']","['Lou Diamond Phillips', 'Tracy Griffith', 'Jeff Kober']","[2, 0, 2, 2, 2, 2, 0, 0, 2]",['serial killer'],1990-04-06,6,0,3,9
4241,Decoding Annie Parker,177047,48390,2000000,5.5,38.0,5.0,['Drama'],"['Samantha Morton', 'Helen Hunt', 'Aaron Paul']","[1, 1, 2, 1, 1, 1, 2, 2, 2, 1]","['infidelity', 'genetics', 'dark comedy', 'cancer', 'dna testing']",2014-05-02,4,6,0,10
4242,Justice League: War,217993,5155325,3500000,7.0,234.0,7.0,['Animation'],"['Michelle Monaghan', 'Alan Tudyk', 'Sean Astin']","[1, 2, 2, 2, 2, 2, 2, 2, 0, 2, 1, 2, 0]","['dc comics', 'based on comic', 'superhero team', 'super powers']",2014-02-02,9,2,2,13
4243,Ernest & Celestine,126319,8109160,12516654,7.6,148.0,7.0,"['Animation', 'Comedy', 'Drama', 'Family']","['Anne-Marie Loop', 'Lambert Wilson', 'Pauline Brunner']","[0, 2, 0, 2, 0, 0, 2, 0, 2, 2, 0, 2, 0, 0, 0, 1, 1, 2, 1, 1, 2]","['mouse', 'musician', 'friendship', 'prejudice', 'bear']",2012-12-12,8,4,9,21
4244,"I, Frankenstein",100241,71154592,65000000,5.1,701.0,5.0,"['Horror', 'Thriller']","['Aaron Eckhart', 'Yvonne Strahovski', 'Bill Nighy']","[2, 1, 2, 2, 1, 1, 2, 2, 2, 2, 2, 0, 2, 2, 2, 0, 0, 2, 1, 0, 0]","['soul', 'queen', 'anti hero', 'fantasy', 'prince', 'supernatural', 'frankenstein', 'good vs evil', 'gargoyles', 'fighting', 'demon', 'dark', 'imax', '3d']",2014-01-22,12,4,5,21
4245,Better Living Through Chemistry,157099,75143,5000000,5.9,99.0,6.0,"['Drama', 'Comedy']","['Olivia Wilde', 'Michelle Monaghan', 'Sam Rockwell']","[1, 1, 2, 2, 1, 2, 2, 2, 2, 0]","['pharmacist', 'dark comedy', 'trophy wife']",2014-03-14,6,3,1,10
4246,Labor Day,130150,20275812,18000000,6.7,306.0,7.0,['Drama'],"['Josh Brolin', 'Kate Winslet', 'Gattlin Griffith']","[2, 1, 2, 2, 2, 1, 2, 2, 2, 1, 1, 1, 2, 2, 0, 2, 1, 1, 2]","['escaped convict', 'depressed mom']",2013-12-27,11,7,1,19
4247,The Young and Prodigious T.S. Spivet,157841,9494789,33000000,6.7,234.0,7.0,"['Adventure', 'Drama', 'Family']","['Kyle Catlett', 'Helena Bonham Carter', 'Judy Davis']","[2, 1, 1, 2, 1, 0, 2, 2, 2, 2, 0, 2, 2, 0, 2, 0, 2, 1, 1, 2, 0]","['train', 'cartographer']",2013-10-16,11,5,5,21
4248,The Monuments Men,152760,154984035,70000000,5.8,1545.0,6.0,"['War', 'Drama', 'History', 'Action']","['Matt Damon', 'Cate Blanchett', 'George Clooney']","[2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0]","['world war ii', 'nazis', 'art theft', 'post world war ii']",2014-01-24,18,1,2,21
4249,The Lego Movie,137106,469160692,60000000,7.5,3127.0,7.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']","['Chris Pratt', 'Will Ferrell', 'Elizabeth Banks']","[2, 2, 1, 2, 2, 1, 2, 2, 2, 2, 2, 1, 0, 2, 0, 0, 2, 2, 2, 2, 2]","['father son relationship', 'creativity', 'friendship', 'part live action', 'toys', 'based on toy', 'falling in love', 'super powers', 'duringcreditsstinger', 'different worlds', 'lego', 'batman']",2014-02-06,15,3,3,21
4250,RoboCop,97020,242688965,120000000,5.7,2385.0,6.0,"['Action', 'Science Fiction']","['Joel Kinnaman', 'Gary Oldman', 'Michael Keaton']","[2, 2, 2, 1, 2, 2, 1, 2, 1, 2, 1, 2, 0, 2, 2, 0]","['cyborg', 'future', 'dystopia', 'police', 'remake', 'violence', 'detroit']",2014-01-30,10,4,2,16
4251,Sabotage,144336,17508518,35000000,5.5,560.0,5.0,"['Action', 'Drama', 'Thriller', 'Crime']","['Arnold Schwarzenegger', 'Sam Worthington', 'Mireille Enos']","[2, 2, 1, 2, 2, 2, 2, 1, 2, 0, 0, 2, 2, 2, 0, 0, 2, 2, 0, 0, 0]","['drug cartel', 'dea']",2014-03-28,12,2,7,21
4252,The Zero Theorem,157834,770706,8500000,5.9,383.0,6.0,"['Drama', 'Fantasy', 'Science Fiction']","['Christoph Waltz', 'David Thewlis', 'M\xc3\xa9lanie Thierry']","[2, 2, 1, 2, 2, 2, 1, 2, 0, 2, 2, 1, 1]","['virtual reality', 'dystopia', 'computer']",2014-01-02,8,4,1,13
4253,Endless Love,226857,34077920,20000000,6.7,555.0,7.0,"['Drama', 'Romance']","['Alex Pettyfer', 'Gabriella Wilde', 'Robert Patrick']","[2, 1, 2, 0, 1, 1, 2, 2, 0, 1, 1, 0, 0, 2, 0, 0, 0, 1, 2, 0, 0]",['teenage romance'],2014-02-12,6,6,9,21
4254,Winter's Tale,137321,30800231,60000000,6.0,501.0,6.0,"['Drama', 'Fantasy', 'Mystery', 'Romance']","['Colin Farrell', 'Jessica Brown Findlay', 'Russell Crowe']","[2, 1, 2, 2, 1, 2, 2, 2, 2, 1, 2, 1, 2, 0, 0, 2, 2, 0, 0, 0, 2]",['based on novel'],2014-02-13,12,4,5,21
4255,Joe,157847,2365467,4000000,6.5,346.0,6.0,['Drama'],"['Nicolas Cage', 'Tye Sheridan', 'Ronnie Gene Blevins']","[2, 2, 2, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 2, 0, 0, 0, 1, 0, 0]","['child abuse', 'prostitute', 'bar', 'brothel', 'snake', 'rain', 'pedophilia', 'bridge', 'beer', 'police', 'wine', 'fellatio', 'truck', 'woods', 'murder', 'dogfight', 'cigar smoking', 'underage drinking', 'teenager', 'facial scar', 'alcoholic', 'ex-con', 'cigarette lighter', 'grocery store', 'shot', 'search for dog', 'trees', 'dirt road', 'assaulting an officer', 'gallon of water']",2014-04-11,4,5,12,21
4256,About Last Night,222899,49002684,12500000,6.0,217.0,6.0,"['Comedy', 'Romance']","['Kevin Hart', 'Michael Ealy', 'Regina Hall']","[2, 2, 1, 1, 2, 1, 2, 0, 2, 2, 1, 1]",['duringcreditsstinger'],2014-02-14,6,5,1,12
4257,The Grand Budapest Hotel,120467,174600318,30000000,8.0,4644.0,8.0,"['Comedy', 'Drama']","['Ralph Fiennes', 'Tony Revolori', 'F. Murray Abraham']","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 1, 1, 2, 2, 2, 2, 2, 2]","['hotel', 'painting', 'wartime', 'gunfight', 'theft', 'mentor prot\xc3\xa9g\xc3\xa9 relationship', 'european', 'hotel lobby', 'renaissance painting']",2014-02-26,18,3,0,21
4258,That Awkward Moment,225565,26049082,8000000,6.1,1020.0,6.0,"['Comedy', 'Romance']","['Zac Efron', 'Miles Teller', 'Michael B. Jordan']","[2, 2, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 0, 1, 2, 2, 1, 0, 1]","['male friendship', 'friendship', 'dating', 'relationship', 'duringcreditsstinger', 'young adult']",2014-01-29,6,12,2,20
4259,Interstellar,157336,675120017,165000000,8.1,11187.0,8.0,"['Adventure', 'Drama', 'Science Fiction']","['Matthew McConaughey', 'Jessica Chastain', 'Anne Hathaway']","[2, 1, 1, 2, 2, 1, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 1, 1, 2, 0]","['saving the world', 'artificial intelligence', 'father son relationship', 'single parent', 'nasa', 'expedition', 'wormhole', 'space travel', 'famine', 'black hole', 'dystopia', 'race against time', 'quantum mechanics', 'spaceship', 'space', 'rescue', 'family relationships', 'farmhouse', 'robot', 'astronaut', 'scientist', 'father daughter relationship', 'single father', 'farmer', 'space station', 'imax', 'astrophysics', 'zero gravity', 'courage', 'time paradox', 'relativity']",2014-11-05,14,6,1,21
4260,3 Days to Kill,192102,52597999,28000000,6.0,896.0,6.0,"['Action', 'Drama', 'Thriller', 'Crime']","['Kevin Costner', 'Amber Heard', 'Hailee Steinfeld']","[2, 1, 1, 1, 2, 2, 0, 0, 2, 2, 0, 0, 0, 0, 0, 2]","['retirement', 'secret service', 'illegal drugs']",2014-02-14,6,3,7,16
4261,Non-Stop,225574,222809600,50000000,6.8,2302.0,7.0,"['Action', 'Thriller', 'Mystery']","['Liam Neeson', 'Julianne Moore', 'Scoot McNairy']","[2, 1, 2, 1, 2, 2, 1, 2, 2, 2, 2, 2, 1, 2, 2, 0, 0, 2, 0, 1, 0]","['airplane', 'conspiracy', 'airplane crash', 'cell phone', 'hijack', 'one night', 'mystery killer']",2014-01-26,12,5,4,21
4262,300: Rise of an Empire,53182,337580051,110000000,6.1,2438.0,6.0,"['Action', 'War']","['Sullivan Stapleton', 'Eva Green', 'Lena Headey']","[2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","['based on graphic novel', 'ancient greece', 'duringcreditsstinger', 'sea battle', 'hand to hand combat', 'minions', 'naval warfare', '3d']",2014-03-05,19,2,0,21
4263,Mr. Peabody & Sherman,82703,272912430,145000000,6.7,861.0,7.0,"['Animation', 'Adventure', 'Family']","['Ty Burrell', 'Max Charles', 'Ariel Winter']","[2, 2, 1, 1, 1, 2, 2, 2, 2, 2, 2, 0, 1, 1, 0, 1, 2, 0, 2, 0, 2]","['father son relationship', 'egypt', 'intelligence', 'adoption', 'time travel', 'boy', 'child prodigy', 'friendship', 'growing up', 'children', 'talking animal', 'talking dog', 'dog', 'first love', 'ancient egypt', 'time traveler', 'duringcreditsstinger', 'new school', 'george washington', 'gags', 'trouble', 'time paradox', 'prodigy']",2014-02-07,11,6,4,21
4264,Under the Skin,97370,5380251,13300000,6.0,1118.0,6.0,"['Thriller', 'Science Fiction', 'Drama']","['Scarlett Johansson', 'Kry\xc5\xa1tof H\xc3\xa1dek', 'Paul Brannigan']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]","['male nudity', 'scotland', 'edinburgh', 'alien', 'very little dialogue']",2014-03-14,1,1,19,21
4265,Need for Speed,136797,203277636,66000000,6.1,1560.0,6.0,"['Action', 'Crime', 'Drama', 'Thriller']","['Aaron Paul', 'Dominic Cooper', 'Imogen Poots']","[2, 2, 1, 2, 2, 2, 1, 2, 2, 0, 1, 2, 0, 0, 2, 0, 2, 0, 0, 2, 2]","['street race', 'super cars', 'super speed', 'car', 'based on video game', 'duringcreditsstinger', '3d']",2014-03-13,12,3,6,21
4266,Barefoot,242042,15071,6000000,6.3,210.0,6.0,"['Comedy', 'Drama', 'Romance']","['Evan Rachel Wood', 'Scott Speedman', 'J.K. Simmons']","[1, 2, 2, 2, 1, 0, 2, 2, 0, 2, 1, 2, 0, 1, 1, 0, 1, 0, 0, 1, 1]","['naivety', 'remake', 'family']",2014-02-02,7,8,6,21
4267,Veronica Mars,177494,3485127,6000000,6.5,482.0,6.0,"['Comedy', 'Drama', 'Crime']","['Kristen Bell', 'Jason Dohring', 'Enrico Colantoni']","[1, 2, 2, 2, 2, 1, 1, 2, 1, 0, 2, 2, 2, 0, 2, 0, 2, 2, 1, 0, 1]","['california', 'sequel', 'murder', 'based on tv series', 'private detective', 'high school reunion', 'duringcreditsstinger', 'crowdfunding']",2014-03-13,11,6,4,21
4268,Bad Words,209403,7800000,9500000,6.4,335.0,6.0,['Comedy'],"['Jason Bateman', 'Kathryn Hahn', 'Rohan Chand']","[2, 1, 2, 2, 1, 2, 0, 1, 1, 1, 0]","['competition', 'satire', 'spelling bee', 'estranged father', 'unlikely friendship', 'anger issues']",2013-09-06,4,5,2,11
4269,Son of God,235260,67800064,22000000,5.9,83.0,6.0,['Drama'],"['Roma Downey', 'Diogo Morgado', 'Louise Delamere']","[1, 2, 1, 0, 1, 0, 2, 2, 2, 2, 0, 0, 2, 2, 2, 0, 2, 0, 1, 0, 0]","['biography', 'resurrection']",2014-02-28,9,4,8,21
4270,Captain America: The Winter Soldier,100402,714766572,170000000,7.6,5881.0,8.0,"['Action', 'Adventure', 'Science Fiction']","['Chris Evans', 'Samuel L. Jackson', 'Scarlett Johansson']","[2, 2, 1, 2, 2, 2, 1, 2, 2, 1, 1, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2]","['washington d.c.', 'future', 'shield', 'marvel comic', 'superhero', 'based on comic', 'captain america', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe', '3d', 'political thriller']",2014-03-20,16,5,0,21
4271,Noah,86834,362637473,125000000,5.5,2408.0,5.0,"['Drama', 'Adventure']","['Russell Crowe', 'Jennifer Connelly', 'Emma Watson']","[2, 1, 1, 2, 2, 2, 2, 0, 2, 2, 2, 0, 1, 2, 2, 1, 2, 2]","['bible', 'god', 'noah', '3d']",2014-03-20,12,4,2,18
4272,Across to Singapore,142159,596000,290000,7.7,3.0,6.0,"['Adventure', 'Drama']","['Ramon Novarro', 'Joan Crawford', 'Ernest Torrence']","[2, 1, 0, 2, 0, 0, 2, 2, 0, 2]","['mutiny', 'arranged marriage', 'ship', 'rejection', 'engagement', 'silent film', 'singapore', 'barroom brawl', 'sea voyage', 'port', 'brothers', 'drunkard', 'childhood sweethearts', 'fury']",1928-04-07,5,1,4,10
4273,The Legend of Hercules,188207,61279452,70000000,4.4,542.0,4.0,"['Action', 'Adventure']","['Kellan Lutz', 'Liam McIntyre', 'Gaia Weiss']","[2, 2, 1, 2, 1, 0, 2, 2, 2, 0, 2, 0, 0, 2, 2, 0, 0, 0, 2]","['mythology', 'zeus', 'ancient greece', 'demigod', 'city of argos', 'mistaken parentage']",2014-01-10,10,2,7,19
4274,Muppets Most Wanted,145220,80383290,50000000,6.2,318.0,6.0,"['Comedy', 'Adventure', 'Crime', 'Family']","['Ricky Gervais', 'Ty Burrell', 'Tina Fey']","[2, 2, 1, 2, 2, 2, 2, 0, 2, 2, 1, 2, 0, 1, 0, 0, 0, 0, 0, 0, 2]","['musical', 'the muppets']",2014-03-20,10,3,8,21
4275,The Quiet Ones,193612,17834867,200000,5.1,253.0,5.0,['Horror'],"['Jared Harris', 'Sam Claflin', 'Olivia Cooke']","[2, 2, 1, 0, 0, 0, 2, 0, 2]","['male nudity', 'female nudity', '1970s', 'experiment', 'nudity', 'poltergeist', 'adrenalin', 'possession', 'mad doctor', 'blood', 'paranormal phenomena', 'scream', 'death', 'skepticism', 'seance', 'locked door']",2014-04-01,4,1,4,9
4276,Draft Day,200505,28831145,25000000,6.5,309.0,6.0,['Drama'],"['Kevin Costner', 'Jennifer Garner', 'Tom Welling']","[2, 1, 2, 2, 2, 1, 1, 2, 2, 2, 0, 2, 2, 2, 2, 0, 2, 0, 1]","['sport', 'duringcreditsstinger']",2014-04-11,12,4,3,19
4277,The Raid 2,180299,2627209,4500000,7.6,832.0,8.0,"['Action', 'Crime', 'Thriller']","['Iko Uwais', 'Arifin Putra', 'Oka Antara']","[0, 0, 0, 2, 0, 2, 0, 0, 1, 2, 0, 2, 2, 0, 0, 0]","['prison', 'undercover', 'fight', 'police', 'gangster', 'violence', 'outnumbered']",2014-03-27,5,1,10,16
4278,The Amazing Spider-Man 2,102382,705717432,200000000,6.5,4274.0,6.0,"['Action', 'Adventure', 'Fantasy']","['Andrew Garfield', 'Emma Stone', 'Jamie Foxx']","[2, 1, 2, 2, 2, 1, 2, 2, 1, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","['obsession', 'marvel comic', 'sequel', 'based on comic', 'electrocution', 'medical experiment', 'electricity', 'super powers']",2014-04-16,17,4,0,21
4279,Oculus,157547,44030246,5000000,6.3,1079.0,6.0,['Horror'],"['Karen Gillan', 'Brenton Thwaites', 'Katee Sackhoff']","[1, 2, 1, 2, 2, 1, 2, 1, 2, 1]","['hallucination', 'supernatural', 'mirror', 'skepticism', 'ghost']",2013-09-08,5,5,0,10
4280,God's Not Dead,249660,29789000,17000000,5.9,242.0,6.0,['Drama'],"['Kevin Sorbo', 'Shane Harper', 'David A.R. White']","[2, 0, 2, 2, 0, 2, 0, 2, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0]","['christian', 'religion']",2014-03-21,5,4,10,19
4281,Beauty and the Beast,197796,49100000,33000000,5.8,669.0,6.0,"['Fantasy', 'Romance']","['Vincent Cassel', 'L\xc3\xa9a Seydoux', 'Andr\xc3\xa9 Dussollier']","[2, 1, 2, 2, 0, 1, 1, 0, 0, 0, 1, 0, 0, 2, 0, 0, 1, 2, 2, 2, 1]","['based on novel', 'magic', 'castle', 'fairy tale', 'transformation', 'forest', 'love', 'surrealism', 'curse', 'man beast', 'beast', 'giant man', 'healing power', 'based on fairy tale', 'picturesque']",2014-02-12,7,6,8,21
